"cve_sun","nom_ciudad","municipio_cvegeo"
"","","16097"
"","","16098"
"","","16099"
"","","16100"
"","","16101"
"95","Uruapan","16102"
"","","16103"
"","","16104"
"","","16105"
"","","16106"
"","","16107"
"26","Zamora-Jacona","16108"
"","","16109"
"","","16110"
"","","16111"
"","","16112"
"58","Tianguistenco","15006"
"","","15007"
"","","15008"
"13","Valle de México","15009"
"13","Valle de México","15010"
"58","Tianguistenco","15012"
"24","Toluca","15018"
"58","Tianguistenco","15019"
"13","Valle de México","15020"
"13","Valle de México","15022"
"13","Valle de México","15023"
"24","Toluca","15027"
"28","Cuernavaca","17009"
"13","Valle de México","15028"
"13","Valle de México","15029"
"","","17010"
"28","Cuernavaca","17011"
"","","17012"
"","","17013"
"","","17014"
"","","17015"
"13","Valle de México","15030"
"13","Valle de México","15031"
"","","15032"
"13","Valle de México","15033"
"13","Valle de México","15034"
"13","Valle de México","15044"
"","","17017"
"28","Cuernavaca","17018"
"","","17019"
"13","Valle de México","15053"
"","","20027"
"24","Toluca","15055"
"13","Valle de México","15060"
"13","Valle de México","15061"
"24","Toluca","15062"
"","","15063"
"","","15064"
"13","Valle de México","15065"
"","","15066"
"24","Toluca","15067"
"13","Valle de México","15068"
"","","20021"
"13","Valle de México","15069"
"13","Valle de México","15075"
"","","20035"
"","","20036"
"24","Toluca","15076"
"","","15078"
"","","15079"
"","","15080"
"13","Valle de México","15081"
"","","15082"
"13","Valle de México","15083"
"","","15088"
"13","Valle de México","15089"
"","","15090"
"13","Valle de México","15091"
"58","Tianguistenco","15098"
"13","Valle de México","15100"
"13","Valle de México","15108"
"13","Valle de México","15122"
"13","Valle de México","15125"
"","","20056"
"","","16007"
"","","16008"
"","","16009"
"","","16023"
"","","16024"
"","","16025"
"","","16026"
"","","16027"
"","","16028"
"","","16029"
"","","16030"
"","","16031"
"","","16054"
"","","16055"
"","","16056"
"","","16057"
"","","16058"
"","","17005"
"28","Cuernavaca","17008"
"","","20068"
"28","Cuernavaca","17020"
"","","20104"
"","","17023"
"","","17027"
"28","Cuernavaca","17028"
"29","Cuautla","17029"
"29","Cuautla","17030"
"","","17031"
"","","17032"
"","","17033"
"","","18001"
"","","18002"
"","","19001"
"","","19007"
"","","20303"
"","","19008"
"","","20198"
"31","Monterrey","19010"
"","","20332"
"","","19024"
"","","19029"
"","","19030"
"","","19035"
"","","20049"
"","","19036"
"","","19043"
"","","19047"
"","","20001"
"","","20003"
"","","20004"
"","","20006"
"","","20007"
"","","20008"
"","","20009"
"","","20010"
"","","20011"
"","","20050"
"","","20013"
"","","20014"
"","","20017"
"","","20019"
"","","20020"
"","","20022"
"","","20023"
"","","20024"
"","","20025"
"","","20026"
"","","20029"
"","","20030"
"","","20032"
"","","20033"
"","","20034"
"","","20037"
"","","20038"
"","","20040"
"","","20045"
"","","20046"
"","","20047"
"","","20048"
"","","20052"
"","","20053"
"","","20502"
"","","20058"
"33","Tehuantepec","20515"
"","","20060"
"","","20517"
"","","20061"
"","","20062"
"","","20063"
"","","20064"
"","","20089"
"","","20065"
"","","20066"
"32","Oaxaca","20067"
"","","20069"
"","","20070"
"","","20099"
"","","20072"
"","","20074"
"","","20075"
"","","20568"
"","","20076"
"","","21068"
"","","21069"
"","","21070"
"","","21071"
"","","20077"
"","","21138"
"","","20078"
"34","Puebla-Tlaxcala","21140"
"33","Tehuantepec","20079"
"","","20129"
"","","22018"
"","","23001"
"","","23002"
"","","20080"
"","","20144"
"37","Cancún","23003"
"","","23004"
"","","20081"
"","","26016"
"","","20082"
"","","20152"
"32","Oaxaca","20083"
"","","20084"
"","","20086"
"32","Oaxaca","20087"
"","","20088"
"","","20090"
"32","Oaxaca","20091"
"","","20092"
"","","20094"
"","","20095"
"","","20096"
"","","20103"
"","","20097"
"","","20100"
"","","20102"
"","","20105"
"32","Oaxaca","20107"
"","","20108"
"","","20109"
"","","20160"
"","","20110"
"32","Oaxaca","20174"
"","","20111"
"","","20112"
"","","20179"
"","","20114"
"32","Oaxaca","20115"
"","","20288"
"","","20116"
"","","20117"
"","","20118"
"","","20119"
"","","20120"
"","","20121"
"","","20122"
"","","20123"
"","","20125"
"","","20126"
"","","20127"
"","","20128"
"","","20130"
"","","20131"
"","","20132"
"","","20133"
"","","20134"
"","","20135"
"","","20136"
"","","20137"
"","","20138"
"","","20139"
"","","20140"
"","","20142"
"","","20145"
"","","20146"
"","","20147"
"","","20148"
"","","20151"
"","","20154"
"32","Oaxaca","20157"
"","","20158"
"","","20162"
"","","20163"
"","","20165"
"","","20166"
"","","20167"
"","","20168"
"","","20169"
"","","20170"
"","","20171"
"","","20172"
"","","20196"
"","","20173"
"","","20176"
"","","20178"
"","","20180"
"","","20181"
"","","20182"
"","","20183"
"","","20187"
"","","20320"
"","","20188"
"","","20329"
"","","20330"
"","","20189"
"","","20191"
"","","20197"
"","","20192"
"","","20193"
"","","20194"
"","","20206"
"","","20195"
"","","20238"
"","","20199"
"","","20200"
"","","20201"
"","","20241"
"","","20203"
"","","20204"
"","","20208"
"","","20251"
"","","20209"
"","","20331"
"","","20210"
"","","20215"
"","","20263"
"","","20216"
"","","20264"
"","","20218"
"","","20219"
"","","20221"
"","","20222"
"","","20223"
"","","20269"
"","","20224"
"","","20225"
"","","20276"
"","","20226"
"32","Oaxaca","20227"
"","","20228"
"","","20229"
"","","20230"
"","","20231"
"","","20333"
"","","20334"
